"crude oil, Nigeria",Value,Year,Units
"Exports",-4701528,2000,TJ
"Exports",-4647496,2001,TJ
"Exports",-3988808,2002,TJ
"Exports",-4767017,2003,TJ
"Exports",-5266601,2004,TJ
"Exports",-5074667,2005,TJ
"Exports",-4936722,2006,TJ
"Exports",-4816902,2007,TJ
"Exports",-4416278,2008,TJ
"Exports",-4615137,2009,TJ
"Exports",-5229368,2010,TJ
"Exports",-4987377,2011,TJ
"Exports",-5059534,2012,TJ
"Exports",-4472575,2013,TJ
"Exports",-4542851,2014,TJ
"Exports",-4524342,2015,TJ
"Exports",-3779860,2016,TJ
"Exports",-3806306,2017,TJ
"Exports",-3985855,2018,TJ
"Exports",-4219844,2019,TJ
"Exports",-3228631,2020,TJ
"Exports",-2704766,2021,TJ
"Exports",-2395988,2022,TJ
"Exports",-2664570,2023,TJ
