Year,Production_BPD,Consumption_BPD,Exports_BPD,Reserves_Billion_Barrels,
2015,2100000,380000,1720000,37,0.998460652
2016,2050000,390000,1660000,37,0.998460652
2017,1980000,400000,1580000,37.1,0.998460652
2018,1920000,410000,1510000,37.1,0.998460652
2019,1880000,430000,1450000,37,0.998460652
2020,1800000,450000,1350000,37,0.998460652
2021,1700000,460000,1240000,37.1,0.998460652
2022,1500000,470000,1030000,37.2,0.998460652
2023,1200000,480000,720000,37.3,0.998460652
2024,1562745,492939,1069806,37.5,0.998460652
